Do you do extra cirricular activites? ,What extra cirricular activity do you do? ,What is your GPA? ,"On average, how many hours do you study for, per day? "
no,Other,2.6,5
yes,Sports&club,3.6,2
yes,Sports&club,0,1
no,other ,2.5,3
yes,sports&club,3.4,1
yes,sports&club,3.5,3
yes,sports&club,3.5,1
yes,sports&club,2,1
yes,sports&club,2.5,3
yes,sports&club,3.2,1
yes,other,3.7,3
no,other,3.2,5
yes,sports&club,2,0
yes,other,3.8,3
yes,sports&club,3.4,4
yes,sports&club,3.5,2
no,other,3.6,2
no,other,0,4
yes,other,0,2
no,other,3.7,2
yes,sports&club,2.5,3
yes,other,3.4,2
no,other,2,2
yes,sports&club,3.8,7
yes,other,3,4
yes,sports&club,3.6,3
yes,other,3,4
no,other,2.7,1
yes,sports&club,3.5,4
no,other,0,5
no,other,0,1
yes,sports&club,3.5,4
no,other,2.8,5
yes,sports&club,3.6,4
yes,sports&club,0,2
yes,sports&club,3,6
yes,sports&club,3,2
yes,sports&club,3.4,7
no,other,3.1,5
yes,sports&club,3,0
yes,sports&club,2.8,1
yes,sports&club,3.3,2
yes,sports&club,0,3
yes,sports&club,0,0
no,other,0,3
no,other,3,2
no,other,0,7
yes,other,3.6,2
no,other,3.4,6
yes,other,3.6,4
yes,sports&club,3.4,4
no,other,3.8,1
no,other,3,2
yes,other,3.5,3
yes,other,3.9,4
yes,other,0,2
yes,other,3.8,5
yes,sports&club,3.7,2
yes,sports&club,3.6,2
yes,other,3,4
no,other,0,2
no,other,0,3
yes,sports&club,4,2
yes,other,3.1,1
yes,sports&club,2,2
yes,other,3,3
yes,sports&club,2,1
no,other,2.5,1
yes,other,3.6,3
yes,sports&club,3.6,2
yes,sports&club,3,2
yes,sports&club,3.8,2
yes,sports&club,4,7
yes,other,0,6
yes,sports&club,3.8,1
yes,sports,3.6,3
no,other,3.8,5
yes,sports&club,3.2,2
no,other,0,4
yes,sports&club,3.6,6
yes,sports&club,0,2
yes,sports&club,4,1
no,other,3.8,2
yes,sports&club,0,2
yes,sports&club,2.5,1
yes,sports&club,3.6,3
no,other,0,0
no,other,3.8,2
yes,sports&club,3.9,3
yes,sports&club,0,4
yes,sports&club,3,5
yes,sports&club,0,3
yes,sports&club,3.4,3
no,other,0,2
yes,sports&club,3.4,3
no,other,3.2,2
yes,other,3.4,2
yes,sports&club,4,2
yes,sports&club,3.7,6
yes,sports&club,3.2,4